timestamp,facility_id,event_type,sensor_status,estimated_tss_mg_l,estimated_cod_mg_l,estimated_bod_mg_l,quality_value_source
2026-05-01 00:00:00,demo-food-processing-plant,normal,ok,232.29328292171988,609.7223473089164,313.0587631047987,soft_sensor_estimate
2026-05-01 00:05:00,demo-food-processing-plant,normal,ok,222.81682043264078,584.3448664601334,260.1418566624507,soft_sensor_estimate
2026-05-01 00:10:00,demo-food-processing-plant,normal,ok,250.9555776320315,741.322652691189,419.12801850352247,soft_sensor_estimate
2026-05-01 00:15:00,demo-food-processing-plant,normal,ok,206.20392841865612,677.5243330372007,401.19147951989896,soft_sensor_estimate
2026-05-01 00:20:00,demo-food-processing-plant,normal,ok,249.4215266052052,743.0347178517492,322.4388400649274,soft_sensor_estimate
2026-05-01 00:25:00,demo-food-processing-plant,normal,ok,273.5687167409422,804.3679066673938,341.30773117454555,soft_sensor_estimate
2026-05-01 00:30:00,demo-food-processing-plant,normal,ok,216.5383680883287,491.44718185275457,251.2777580408205,soft_sensor_estimate
2026-05-01 00:35:00,demo-food-processing-plant,normal,ok,202.8269421627375,673.4484541812074,333.5783538912905,soft_sensor_estimate
2026-05-01 00:40:00,demo-food-processing-plant,normal,ok,312.92126141968157,768.0950917986165,437.7828117918971,soft_sensor_estimate
2026-05-01 00:45:00,demo-food-processing-plant,normal,ok,228.8552607358906,642.6847720149458,285.2323434761222,soft_sensor_estimate
2026-05-01 00:50:00,demo-food-processing-plant,normal,ok,286.8259627940778,679.5638004392948,310.5873901702196,soft_sensor_estimate
2026-05-01 00:55:00,demo-food-processing-plant,normal,ok,205.88856127277103,562.8371509613979,231.25584633816996,soft_sensor_estimate
2026-05-01 01:00:00,demo-food-processing-plant,normal,ok,314.5106623616741,750.1600947347714,344.1265133570522,soft_sensor_estimate
2026-05-01 01:05:00,demo-food-processing-plant,normal,ok,274.1857656046474,710.8841000816085,364.8713496390909,soft_sensor_estimate
2026-05-01 01:10:00,demo-food-processing-plant,normal,ok,260.57348254656904,517.5127472263363,209.0010736958498,soft_sensor_estimate
2026-05-01 01:15:00,demo-food-processing-plant,normal,ok,288.74590410208367,786.1870207320977,510.56178914930797,soft_sensor_estimate
2026-05-01 01:20:00,demo-food-processing-plant,normal,ok,283.79948863613697,786.0909196997968,308.77748504617955,soft_sensor_estimate
2026-05-01 01:25:00,demo-food-processing-plant,normal,ok,239.4937971298641,697.548552591027,333.4783262636585,soft_sensor_estimate
2026-05-01 01:30:00,demo-food-processing-plant,normal,ok,229.4284746439389,702.3861166073704,363.121704268038,soft_sensor_estimate
2026-05-01 01:35:00,demo-food-processing-plant,normal,ok,291.2857865251882,793.1918425373005,445.0079337560426,soft_sensor_estimate
2026-05-01 01:40:00,demo-food-processing-plant,normal,ok,255.5825292791269,679.2843656746401,307.4149874716165,soft_sensor_estimate
2026-05-01 01:45:00,demo-food-processing-plant,normal,ok,287.7733717212754,877.7154642747605,378.17227380512315,soft_sensor_estimate
2026-05-01 01:50:00,demo-food-processing-plant,normal,ok,247.01966562608126,660.8223433258553,297.8879641350188,soft_sensor_estimate
2026-05-01 01:55:00,demo-food-processing-plant,normal,ok,165.8930166656224,656.0688448304185,395.73545254834494,soft_sensor_estimate
2026-05-01 02:00:00,demo-food-processing-plant,normal,ok,286.5596586870789,651.372679621012,257.7966274854569,soft_sensor_estimate
2026-05-01 02:05:00,demo-food-processing-plant,normal,ok,237.1352015091763,661.9260682023022,371.24509758671087,soft_sensor_estimate
2026-05-01 02:10:00,demo-food-processing-plant,normal,ok,308.3146719605994,843.1691196109857,435.92209889549554,soft_sensor_estimate
2026-05-01 02:15:00,demo-food-processing-plant,normal,ok,300.3954135419812,757.3050461938541,397.0953492602508,soft_sensor_estimate
2026-05-01 02:20:00,demo-food-processing-plant,normal,ok,293.7032589296705,683.9313944461883,387.8319321773921,soft_sensor_estimate
2026-05-01 02:25:00,demo-food-processing-plant,normal,ok,271.15638464566746,715.0399363076101,335.0883050237861,soft_sensor_estimate
2026-05-01 02:30:00,demo-food-processing-plant,normal,ok,343.2688870529294,791.5119397513022,434.0133887462183,soft_sensor_estimate
2026-05-01 02:35:00,demo-food-processing-plant,normal,ok,309.5263221870329,675.5035963676569,346.9887084929501,soft_sensor_estimate
2026-05-01 02:40:00,demo-food-processing-plant,normal,ok,374.48479706363014,817.9045790275311,367.1540352835017,soft_sensor_estimate
2026-05-01 02:45:00,demo-food-processing-plant,normal,ok,304.444314040854,784.5354826891777,393.2689819927813,soft_sensor_estimate
2026-05-01 02:50:00,demo-food-processing-plant,normal,ok,303.8021915832755,574.6230761593475,289.7533724005659,soft_sensor_estimate
2026-05-01 02:55:00,demo-food-processing-plant,normal,ok,307.52724158194354,785.2510513944117,311.2590064369492,soft_sensor_estimate
